iter kd skd kf skf gamma sgamma sigma_error1 sigma_error2 sigma_error3 sigma_error4 L
4.000000000000000000e+01 3.286572293268475451e-04 3.011745318064882644e-05 4.111991043906070031e-05 2.380501544087556529e-06 6.723316266226988223e-05 3.039451329277963840e-06 6.331129082197111124e+00 7.769858392160242211e+00 7.583649809371663331e+00 6.765865805367547559e+00 -1.703638775527262169e+03
4.100000000000000000e+01 3.162586584794797439e-04 3.204616301613201051e-05 4.198904226658300900e-05 2.236639624431721743e-06 6.119501975330420278e-05 3.008124315031934255e-06 6.696058916202427547e+00 8.252117883435975187e+00 7.131214748634964629e+00 6.444660035520572983e+00 -1.700032416765293874e+03
4.200000000000000000e+01 3.106617550682180188e-04 3.222507792335683091e-05 4.002541211474239409e-05 2.320843275563017549e-06 6.182131946674792645e-05 3.130520335190720586e-06 6.749903604409927205e+00 7.983414468030844979e+00 6.952563751545190129e+00 6.635311687303276251e+00 -1.703735525699432173e+03
4.300000000000000000e+01 3.033613153913304410e-04 3.204862168105072315e-05 4.048306953379069074e-05 2.256475813843802097e-06 5.920394028635255943e-05 3.232576180601223740e-06 7.230376978064434468e+00 6.937453173388122174e+00 6.851213727668962861e+00 6.560144356585043468e+00 -1.704872777059867758e+03
4.400000000000000000e+01 3.139772897710580118e-04 3.243195791681105343e-05 4.085778856380109546e-05 2.290374453473209032e-06 5.695694254595908923e-05 3.333256539487783745e-06 7.507878855927781814e+00 7.742284563181723200e+00 6.557509412341120836e+00 6.683029912068149336e+00 -1.705144721393848158e+03
4.500000000000000000e+01 3.047171108436645182e-04 3.382314144964739628e-05 3.884992687376261007e-05 2.463481535056741722e-06 5.506840196425346300e-05 3.406607386172043009e-06 7.655741819889168909e+00 7.967043688627395426e+00 6.763086365023609936e+00 6.895966868376793180e+00 -1.707259277142235987e+03
4.600000000000000000e+01 3.144427898229059802e-04 3.622937300005784413e-05 3.794357946071504658e-05 2.544870603726635010e-06 5.804913727324063910e-05 3.560664175547339793e-06 7.496419304382393456e+00 8.057505915967611898e+00 6.354909920139047763e+00 7.472882560466921120e+00 -1.705751491502441013e+03
4.700000000000000000e+01 2.950243366893402124e-04 3.658782592344451853e-05 3.471258431066500679e-05 2.699012106306991834e-06 5.751262168058585671e-05 3.451739229283013004e-06 8.213944945319777702e+00 8.723941357710925715e+00 6.864937558709388377e+00 7.559982817725402704e+00 -1.705853387286028465e+03
4.800000000000000000e+01 3.031446432560305640e-04 3.997034765127996825e-05 3.209507587530123057e-05 2.742637973852341944e-06 5.561207434441114300e-05 3.666783701227239717e-06 7.845996004185717965e+00 8.227275529188858627e+00 7.372867209764250696e+00 7.608553081191645084e+00 -1.707501838311375195e+03
4.900000000000000000e+01 3.240167982175558509e-04 4.134893360456985765e-05 3.147066701490696652e-05 2.563788536116546486e-06 5.403732761550714240e-05 3.595793371321719775e-06 8.007683343866892400e+00 8.215887218211875620e+00 7.550659600134412841e+00 7.631803030282322986e+00 -1.707309534812072343e+03
