,replicate,t,x
48,2,16134.453781512606,359.0
49,2,16470.58823529412,362.0
50,2,16806.722689075632,358.0
51,2,17142.85714285714,359.0
52,2,17478.991596638654,349.0
53,2,17815.126050420167,351.0
54,2,18151.26050420168,344.0
55,2,18487.394957983193,349.0
56,2,18823.529411764706,349.0
57,2,19159.66386554622,348.0
58,2,19495.798319327732,353.0
59,2,19831.932773109245,343.0
60,2,20168.067226890755,328.0
61,2,20504.201680672268,340.0
62,2,20840.33613445378,340.0
63,2,21176.470588235294,335.0
64,2,21512.605042016807,341.0
65,2,21848.73949579832,348.0
66,2,22184.873949579833,332.0
67,2,22521.008403361346,331.0
68,2,22857.14285714286,325.0
69,2,23193.277310924368,312.0
70,2,23529.41176470588,329.0
71,2,23865.546218487394,318.0
72,2,24201.680672268907,301.0
73,2,24537.81512605042,295.0
74,2,24873.949579831933,298.0
75,2,25210.084033613446,305.0
76,2,25546.21848739496,290.0
77,2,25882.352941176472,295.0
78,2,26218.48739495798,280.0
79,2,26554.621848739494,278.0
80,2,26890.756302521007,280.0
81,2,27226.89075630252,263.0
82,2,27563.025210084033,281.0
83,2,27899.159663865546,271.0
84,2,28235.29411764706,277.0
85,2,28571.428571428572,267.0
86,2,28907.563025210085,263.0
87,2,29243.697478991595,263.0
88,2,29579.831932773108,256.0
89,2,29915.96638655462,268.0
90,2,30252.100840336134,247.0
91,2,30588.235294117647,244.0
92,2,30924.36974789916,240.0
93,2,31260.504201680673,251.0
94,2,31596.638655462186,241.0
95,2,31932.7731092437,251.0
96,2,32268.907563025212,247.0
97,2,32605.04201680672,250.0
98,2,32941.17647058824,256.0
99,2,33277.31092436975,252.0
100,2,33613.445378151264,249.0
101,2,33949.57983193277,238.0
102,2,34285.71428571428,238.0
103,2,34621.8487394958,265.0
104,2,34957.98319327731,264.0
105,2,35294.117647058825,245.0
106,2,35630.252100840335,235.0
107,2,35966.38655462185,247.0
108,2,36302.52100840336,245.0
109,2,36638.65546218488,244.0
110,2,36974.78991596639,259.0
111,2,37310.924369747896,239.0
112,2,37647.05882352941,244.0
113,2,37983.19327731092,253.0
114,2,38319.32773109244,225.0
115,2,38655.46218487395,231.0
116,2,38991.596638655465,221.0
117,2,39327.731092436974,230.0
118,2,39663.86554621849,226.0
119,2,40000.0,215.0
0,3,0.0,425.0
1,3,336.1344537815126,420.0
2,3,672.2689075630252,426.0
3,3,1008.4033613445379,414.0
4,3,1344.5378151260504,419.0
5,3,1680.672268907563,427.0
6,3,2016.8067226890757,426.0
7,3,2352.9411764705883,430.0
8,3,2689.075630252101,417.0
9,3,3025.2100840336134,416.0
10,3,3361.344537815126,427.0
11,3,3697.4789915966385,428.0
12,3,4033.6134453781515,418.0
13,3,4369.747899159664,414.0
14,3,4705.882352941177,418.0
15,3,5042.016806722689,408.0
16,3,5378.151260504202,395.0
17,3,5714.285714285715,407.0
18,3,6050.420168067227,394.0
19,3,6386.55462184874,398.0
20,3,6722.689075630252,416.0
21,3,7058.823529411765,408.0
22,3,7394.957983193277,382.0
23,3,7731.09243697479,391.0
24,3,8067.226890756303,379.0
25,3,8403.361344537816,394.0
26,3,8739.495798319327,388.0
27,3,9075.63025210084,391.0
28,3,9411.764705882353,397.0
29,3,9747.899159663866,384.0
30,3,10084.033613445377,367.0
31,3,10420.16806722689,359.0
